object,creator,description
"
                Arduino driven Hand Actuator
                			",Jose Santos Lizcano,"When I saw what eNABLE does and started reading the problems eNABLE community members face when designing, printing and assembling the prosthetic hands in any variant, I was able to identify a couple of problems that were common to almost all cases, and I decided to start working on a way to try and solve those the best i could.So I first identified the scale/size problem; when a printed hand involves screws or bolts and other standard-sized hardware, it becomes very problematic to properly scale to a recipients custom size.Then it comes the mechanic part of it; all systems I have seen, use the force the recipient has in his/her forearm/wrist to open/close it. (V/O, V/C) This has a lot of disadvantages since every recipient is different and a design that may seem to work for some, may not for work for others, (different flexion and extension) and the strength exerted by it varies accordingly, but always inside certain values (never too strong) dictated by the forearm/wrist itself.We encounter limit in the 3dprinters, too, that cannot accurately print smaller features and also, the plastic itself reaches a limit in its mechanical properties as features get smaller. Also regarding scale/size, there´s the thing about trans radial amputation, where the above (wrist actuated) does not apply.Besides, the thing about the individual fingers controlled all at once seems very disadvantageous, since, in the most cases all fingers share a common pivot point, which in turn makes grasping non-cylindrical objects, very difficult, if not impossible.So I started working on these topics and designed this pieces I present you here.I designed an enclosure where the mechanical side of things happen, that doesn’t need scaling, and that can interact with any type of 3dprinted hand (PTC), eliminating the problems with varying hardware sizes.Also, I designed a pulley system that multiplies the work that the actuating servo can produce, along with a second pulley system that allows the fingers to move somewhat independently, giving them more freedom to grasp conical objects or other non-cylindrical ones. This enclosure can be axially (collinear) mounted on the recipient´s residual limb, if there´s enough room for it between the elbow and the wrist, or it can be mounted on the underside of the residual limb, via a couple adapters. (This part is still in progress, but the current version works pretty much ok, I think).Everything was designed to be 3dprinted without any support, making it easier for anyone to assemble it without much knowledge/skill required.Also I tried to remove as much material as possible so it could be as light but as strong as possible.All 3dprinted parts weigh at 178 gr.The heaviest parts are the battery and the linear servo that controls the movement.The movement is actuated via an Arduino Micro microcontroller that reads the values from a Myoware sensor placed on the biceps muscle group. The Arduino actuates the servo, that moves the fingers via a multiplying pulley and a tensor system that allows independent motion between the fingers.There´s an Arduino sketch (code/program) I wrote, that calibrates the sensor each time the system is turned on, so if the readings from the Myoware sensor vary depending on its placement on the recipient´s arm, the system adapts to this.Hardest part of this system while assembling it, is that it requires soldering, and that´s it, pretty simple.I tried to make it as simple, light, efficient, cheap and strong as possible.I am using red PLA, printed at 195c, with .3mm layers, and varying percentages of infill, all printed on a Makerbot Replicator 2, using a Flexy-Hand (by Gyrobot) to demonstrate the working principles of my design. Clearly, this design can and will work with any PTD design that actuates (V/O, V/C) via pulling strings (tendons).You will find the complete list of materials with its recommended print settings and characteristics in the files attached, as well as the Arduino code involved and instructions for assembly.Even when the challenge is for a PTD with several technical requirements, and my design doesn’t fully comply with all of them, I think it´s a great time and opportunity to share this work that I believe can be very helpful (mainly in concept but also in execution).I really hope it’s something that contributes to the eNABLE community.Thanks for reading, and again, please feel free to comment/ask me on this design.José Santos Lizcano."
"
                Arthritus Assist Dog Leash Snap
                			",Michael James,"Printer I Use: Athena II RepRap Delta MOSTSlicer Program: CuraMaterial: Hatchbox 1.75 mm PLAPrinter Settings----Scale Male end to be 2.5% LESS THAN the Dog End. (i.e. if Dog End Scale = 100 then Male End Scale =97.5%)Print Temp: 200 deg CLayer Height: 0.1 mmPrint Speed: 150 mm/s Support: Yes, Generate, Zig-ZagEnable Print Cooling: NO "
"
                Nail Clipper Holder
                			",Jacob Jarvis,This is a nail clipper holder made to assist those aflicted with arthritis modified from an original design found here: https://www.makersmakingchange.com/project/nail-clipper-holder/The original design relies heavily on a flexible plastic being used to print the holder as well al a separate set of nuts and bolts. This revised eddition eliminates the use of extra materials using snap fits for the seprate components. It also incorperates a hinge to allow for more rigid plastics to be used for fabrication.Nail clipper holders and other easy-grip items can be found on the market for as much as $6 a unit (Amazon) but this aid can be printed with as little as 60 grams of material at $20/kg (PLA) which is a unit price of about $1.20 without the wait for shipping.
"
                ArthritisHandleWithCanOpener
                			",Andrew Wunderlin,"This is a drawer/cabinet handle that is designed for people that suffer from arthritis. It also has a built in can tab starter, I figured that would be usefull to the same demegraphic. The tab opener is originally by VegasGuy and can be found here: https://www.thingiverse.com/thing:3027499 Thank you VegasGuy."
"
                Pill Dispenser
                			",Tetiana Bulgakova,"Pill Dispenser is a device to help people to remember to take medication as required, on an hourly or daily basis. Simple pill dispenser allows people to gain access to the pill at any time.Dispenser includes 3 single dose of tablets for one week.The dispenser comprises eight segments, one segment for unassigned tablets.The top cover is printed in two different plastics, translucent bottom and the top may be any other color. Tray two tablets per day.It made at the request of Tomas Wikstr.Pill Dispenser by TanyaAkinora is licensed under theCreative Commons - Attribution - Share Alikelicense."
"
                3D printed orthotic swimming fin
                			",BCN3D Technologies,"Two industrial designers from Barcelona have created a swimming fin to accelerate the rehabilitation of Pedro, a 16-year-old boy who suffered a stroke, which paralyzed half part of his body.Pedro is a sixteen years old guy from Barcelona who loves sports. In August 2012 he suffered a stroke, a left ganglion basal hemorrhage, which paralysed half part of his body. After a long period of rehabilitation, Pedro recovered a great part of the mobility, except in his right hand, affected by spasticity. Spasticity is a disorder of the central nervous system that causes an increase of the muscular tone hindering totally or partially the movement of the affected muscles.By using the BCN3D Sigma 3D printer, industrial designers created a customized orthotic swimming fin enterly designed for anthropometric measures of Pedro's hand.BCN3D Sigma 3D printer: bcn3dtechnologies.com/3d-printer/bcn3d-sigmaThanks to the immediacy that 3D printing offers, Pedro had his personalized 3D printed swimming fin in a very short period, generating, among others, the following advantages:Improvement in body position, facilitating stroke and movement.An increase of the musculature in the upper part of the body.Due to the improvement in the swimming position, Pedro spent more time in the pool without getting tired. That improved muscle tone throughout the body.-----------------------------------------Read the full article in our website: bcn3dtechnologies.com/3d-printed-fin-stroke-rehabilitation-----------------------------------------Follow us through our social media channels in order to get more information about BCN3D:BCN3D Facebook: facebook.com/bcn3dtechnologiesBCN3D Twitter: twitter.com/bcn3dtechBCN3D Instagram: instagram.com/bcn3dtechBCN3D Google+: plus.google.com/u/2/106660239696256442101About BCN3D Technologies - bcn3dtechnologies.com"
"
                e-Nable Phoenix Hand v2
                			",MatterHackers,"For best results, print with MatterHackers PRO Series PLA Purchase the assembly kit: e-NABLE Raptor Hand Assembly Materials KitThe e-NABLE Community is an amazing group of individuals from all over the world who are using their 3D printers to create free 3D printed hands and arms for those in need of an upper limb assistive device. They are people who have put aside their political, religious, cultural and personal differences – to come together and collaborate on ways to help improve the open source 3D printable designs for hands and arms for those who were born missing fingers or who have lost them due to war, disease or natural disaster.Learn More about e-Nable: matterhackers.com/e-NABLEOriginal design attribution: Enable Community Foundation"
"
                Prosthetic/Robotic Hand Printable As An Assembled Unit Without Supports
                			",Hank Dietz,"You might have heard about the 3D-printed prosthetic hands created by Richard Van As and Ivan Owen for about 100 children thus far. That's a great thing they've been doing. There's also a ""Snap-Together Robohand"" version, thing 92937, which is intended to be easier to build. I'm sure it is... but it still takes half a day to print the parts and assemble them. Unfortunately, I had less than 3 hours total on Saturday, September 28, 2013, to give an overview of making technologies and have YMCA Black Achievers students actually build something.So, I designed a new prosthetic/robotic hand for which all the printed parts print assembled without supports in less than an hour. You still have to thread some fishing line and rubber bands through it, but from print start to working hand is easily done in less than 90 minutes using a total of about $1 worth of materials!"
"
                Customizable Bag Clip
                			",Walter Hsiao,"The design is customizable, you can adjust the size of the clip or add a label (in multiple fonts, including braille). Additional parameters can be used to tweak the design for other printers and plastics. The example files were created to work with ABS plastic, print matching inside and outside files to assemble a clip.InstructionsThis design includes customizable parameters so it can be used with other plastics and printers. For printing in ABS, most of the parameters shouldn't need to be changed. Take a look at the customizer image for more info on the customizable parameters.To assemble, insert one end of the inner clip between the hinge sections of the outer clip, and twist the other side in.To open and close, bend the entire clip (it acts like a spring) until the inner clip has enough room to clear the end of the clip.Support material recommended for the hinge."
"
                Key Block for the Blind
                			",Henry Barnard,"The 'KeyBlock' has sliding trays for each key that would otherwise be jumbled on a keyring. Each tray has a label printed in braille to aid the blind, or in regular text for those who simply need the block to help if they forget which key is which. The Block is also useful for those who dont have the dexterity to hold small keys, by allowing a much larger area to hold."
"
                Quarter Holder/Dispenser with Travel Ring
                			",Henry Qiu,"This is my first original design from scratch. Opinions?A simple and efficient travel sized container for holding quarters, it's a Piggy-Bank-on-the-Go! Easy to add or take away quarters, can be attached to bags or belt.[Other coin sizes coming soon]Parts and Functions: 3-Main body tube: Holds quarters, with 4 ""peep holes"" to quickly see how many you have left (4/4, 3/4, 2/4, 1/4). Has a hole on the bottom big enough for a finger to push the coins up from the bottom if there isn't enough coins left to just take it from the top, but small enough that quarters won't fall out. [currently designing v.2. where the hole is not needed where there is a little slider that goes up and down]-Screw on capA simple lid with a slit on the top so you don't have to unscrew the cap every time the cashier gives you one or two quarters to put them in. It's small enough that it is very unlikely for any quarters to fall out when shaken.-Travel RingI put this in there so that I can attach the ring to the top of the inside of my book bag so that it is easy to reach, and easy to take out of the ring, just slide it in or out. You can also attach a small piece of cord or string to it and attach it to your belt.I printed mine with 100 Microns with PLA with my Da Vinci Jr. 1.0 with 10% infill.If there any suggestions or problems you come across while using it, I'd appreciate it and I'd include a fix for it in v.2.Henryqiu19@gmail.com for any questions.I can print out one for you at https://www.3dhubs.com/user/120043/dashboard/hub if you don't own a 3D printerHappy Spending!BackstoryI'm 14 and I travel to and from school 40 miles every day, and every day I buy pizza and some snacks before and after school. I'm a fan of using quarters to purchase items less than $5 at once. Pizza would cost $2.75 and I would reach into my bag and count out 11 quarters. This has been a hassle, searching for coins. I tried ziplock bags, pill bottles, but none were sturdy enough so I was on TinkerCAD and uploaded a simple cylinder... when an idea popped into my head."
"
                OpenR/C F1 Bottle Opener
                			",Daniel Norée,OpenRC F1 Bottle OpenerVideo: youtu.be/8tEnRCM4-EE
"
                CRE-007 Upper Limb Exoskeleton - Huced Despro ITS
                			",Djoko Kuswanto,"This is a 3D printer-based Upper Limb Exoskeleton Design. Developed and designed by Vebri Wiranta, Department of Industrial Design, ITS Surabaya, Indonesia. Advisor: Djoko Kuswanto, ST., M.Biotech."
"
                MULTIHAND 3.0
                			",Macaroni Divisioni,"A new project useful for both mechanical experiments both as an attempt to create a prosthetic aid at low cost.Unfortunately not everything works correctly, and much depends on the PLA FLEX you will use for the part of the fingers. It should be one of your intervention to improve the elastic response and the return of the fingers in position 'open'. Not a project working perfectly but you can use it as a starting point for your other projects."
"
                Crutch Accessories: Stabilized cup holder and plate holder
                			",Hartvik Line,"This is my contribution to ""the crutch accessory challenge"" over at Grabcad.comStabilized holders for cup and plate, to be mounted on crutches. Suitable for various cups and plates. (Even cups with a handle)Only 3D printed parts. Gymbal cupholder printed in one piece (!)(See Youtube video for product demonstration) Have fun, hope your leg heal soon!Best regardsHartvik Line* Print and assembly instructions providedModels used in render:Mug: grabcad.com/library/mug-52Plate: grabcad.com/library/plate-41Crutches: grabcad.com/library/crutches-2 "
"
                Braille Keyboard Covers v2.3 (customisable)
                			",Munt,"SummaryCustomise then print these and stick them on your keyboard. Patterns and spacings on V2.2 from Marburg Medium braille font standard.~see instructions~Please provide suggestions for improvements.Next version to include better dot height functionality.v2.3 - 23 July 2015Added Braille Scale Multiplier to increase braille size.v2.2 - 7th May 2015Made CustomisableThe scad file has a matrix of all the braille letters that you can use in your own project if you wish (to save you from having to make them yourself)InstructionsFor best results open in OpenSCAD, instructions - youtu.be/cukWgTyvWNsCUSTOMIZER_V2.3.scadCurrent Thingiverse Customizer versionThe most up-to-date version, tweak the settings yourself. Based on braille worldwide medical standards pharmabraille.comDefault size is at minimum key size, you will likely want to increase this.• Use ""Text Drop Down Box Select sets"" to create stls of specific character sets (all,alphabetic,numeric,symbols,functions,commands) due to the complicated operations thingiverse might have problems rendering the whole set at once.• The main settings to modify are Base Height, Key Size & Braille Scale.• If you want to customise this more, all the braille settings regarding spacing and dot height are accessible if you download the scad file and open it directly in OpenSCAD. You can eliminate rendering problems on thingiverse by using OpenSCAD also.braille_allKeys_v2.2.stldefault settings, $fn=21All V2.2 keys. Warning these are at the minimum possible size. use customiser to increase to the size of your keyboard keys in mm./////////////// OLD STUFF LEFT HERE JUST BECAUSE ////////OLD WAYS :(brailleOpenSCAD_v1.zipContains the following 3 OpenSCAD files to create higher quality custom tiles (using Braille Normal font). Along with the original Customer version:customisable_brailleKeys_v1.1.scadThis one uses thingiverse's built in ""write/braille.dxf"" font which is lower resolution and only supports alphanumeric & symbols."
"
                Bagholder with comforable handle
                			",Jonn-Idar Fjæra,"Simple remix with a bit more comfortable handle.You should use quite a high infill percentage, and probably not PLA (it is very brittle).Thanks to the original designer :)"
"
                Disposable glove wall mount
                			",John Kelly,Designed to hold65mm (D) x 105mm (W) x 230mm (L)Disposable glove boxesHas two keyhole type mounting holes (5mm ID) for hanging + a 3rd (5mm ID) hole for final fixing.Indented type face bottom left.SMALL (S)MEDIUM (M)LARGE (L)Indented type face rear.indicating 50mm centres for fixing holes.
"
                Velbon 1/4 X 20 QB5L quick release
                			",Jon Turnquist,I needed a quick release plate for a Velbon S-400 tripod and could not find what I wanted with a thicker top and small hole so here it is if anybody needs one. Fits any tripod that has a Velbon QB5L quick release. This one is for a 1/4-20 bolt and you will need to screw the bolt though the plastic past the area of threads but that will also keep the screw from falling out once the camera is removed. Printed in PLA but will use ABS for my panomount.Used : https://www.amazon.com/SmallRig-D-ring-Hinged-Release-Standard/dp/B009FILPMU for the small 1/4 X 20 bolts that fit the camera. 
"
                Two handed milk carton holder
                			",Jon Turnquist,Two of my students had a request (also an assignment) to help out a local school with some adapted feeding equipment. The young student could not hold onto the 1/2 pint milk carton without assist so we came up with this two handed milk carton holder that holds the tall 1/2 pint carton. They gave the holder to the school but also supplied the school with the design so more can be replicated as needed on their printer. Printed in PLA 30% infill
"
                Nurse call button adapter
                			",Gabriela Alejandra Bravo Illanes,"This adapter allow people with hand limited movement push the nurse call button (a button with the shape of the picture above). Thanks to the shape of this adapter, it doesn't flip on bed. Post-printing (see last image):  pass the button by the bigger hole from bottom to top. 2. turn the button to fit in the smaller hole. The button will get stuck. 3. Put the button cover and turn it 90°.This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                Sensory Feedback - Raptor Reloaded - e-NABLE
                			",Tikkum Olam Makers,"Hi everyone,This is a project done by me and my partner Moran Davoodi, the project was done under the supervision of Yoav Medan, in the Bio-medical engineering department at the Technion and in conjunction with Haifa3D.The goal of the project was to add the sense of touch to a 3D printed Raptor Reloaded,this was achieved using 3 type of sensors: pressure, location and temperature (the temperature sensor is mainly used to protect the hand from excessive heat). The feedback to the user is passed using a feedback band which is based on 2 servo motors and a vibration motor.The entire design is based on simple off the shelf parts and the cost is ~60$ in addition to the regular cost of the Raptor Reloaded.In order to build this design you will need some knowledge and experience in Arduino and electronics and 3D printing.In addition to the design itself an emulator was developed in order to test the design, the emulator can be useful for developers working on improving the Raptor Reloaded.The mechanical model is based on e-NABLEs Raptor Reloaded and the Carmel thumb.There is a more detailed explanation in the attached project overview. Assembly instructions are also attached.A link to a video showing the features of the device:youtu.be/h9PKCQCQg-UGood luck"
"
                Long Slot Post for Sixth-Finger / Sixth-Toe Capacitive Stylus
                			",Ken Hackbarth,Print SettingsPrinter:Monoprice Select Mini Rafts:No Supports:No Resolution:0.1 mm Infill:20%
"
                Counterbalance
                			",Ramiro Pérez y Alan Ramirez,
"
                Plautus Braille Sample - 3D Print
                			",Evavooo,"A sample of 3D printable braille.The text reads - ""Il faut casser le noyau pour avoir l’amande."" (You have to break the shell to have the almond.)This proverb has been attributed to the Roman philosopher and playwright Plautus, who was born in 254BC in Italy. His comedies are some of the earliest surviving intact works in Latin literature.This sample we're created after inital feedback during a focus group at the Imakr store in Spring 2015 conducted by 3D designer Eva Sbaraini."
"
                Penny Bottle Opener Keychain
                			",Dan O'Connell,Penny operated bottle opener key chain. Insert penny into slot. Please do not use this if you are under the legal age. Drink responsibly.
"
                Taiwanese Braille / 注音符號點字
                			",Anthony Lu,"Taiwanese Braille is the braille script used in Taiwan for Taiwanese Mandarin.歡迎真的有需要這套教具的公益團體連絡我們，印匠將免費提供有需要的團體For more printing object please visit 86Duino facebook and give us a ""like"" and thanks for the tips...https://www.facebook.com/86duino喜歡圖檔的好朋友請記得到 86Duino Filament 3D 列印 / 耗材 - 不正經研究中心 粉絲團給我們按讚哦 https://www.facebook.com/86duino"
"
                Glucose Station
                			",Dave Gomez,"This station helps keep handy and organized all of the items I use for managing my blood sugars.  It is custom fit for the OneTouch tester and vial, as well as the insulin pen.  If you ask for a mod for a different tester, all I would need is a fairly flat picture of the tester and a measure of one dimension (width or height), as well as depth."
"
                Key Adapter for disabled people V2
                			",Kim Forest,"This is a remix from Lucia Parmegiani works: Key Adapter for disabledThis version is compatible with three differents kinds of keys that are common here in Canada (See the pictures for more detail)This model helps out people that are losing their ability to grip a small object such as keys. I hope it helps someone!If you like this model, don't forget to like the original model from Lucia too ;)"
"
                Weekly Pill Case / Organizer with Monogram Screw
                			",sam welch,"Pill organizer / vitamin reminder with a labeled slot for each day of the week. To use, loosen the screw 1 turn and twist the lid to the current day. The lid & screw are fully removable to refill the container at the end of the week.To personalize your case, download the .f3d or .step file for the screw. Each letter is stored in a separate sketch and can be used to update the extrude to add your own initials. Just turn on the sketch for the desired initial, then double click on the extrude function and swap the sketch curves. The screw can be customized with initials, icons, emoji, or whatever you would like via a simple -0.2” extrude. I recommend using a monogram generator to create an svg and importing it as a sketch."
"
                Folding Braille ruler
                			",Diggory Gray,"Prototype Braille folding ruler.Needs glue, a rivet and 1.5mm diameter pins to construct.If you are using a FLA printer you may need to bore out the holes with a dremel, as they tend to turn oval."
"
                Swith Plate Embossed (Double)
                			",Matthew Comer, Simple to customize your pad.
"
                Assisitive flexible grip for drumsticks or other objects
                			",Seb Paris,"This object was entered in the MakeShaper Design Challenge (see all entries here).I like the drums, and I want to share this passion with many people as possible! So I had the idea to make possible the grip drumsticks for people with osteoarthritis problems, as my grandmother back. I think it is not easy for all those people who have these problems, and I thought it would be nice to give them the opportunity to let off steam by making music.I went to the Maker Faire in Nantes in July and met the movement ""enablingthefuture.org"" who explained to me what they were doing in the world and for children and adults mixed. That's why I wanted to offer the maximum sizes as in a clothing store. I propose my object for different types and sizes of drum sticks, for children 6 to 18 years, moms and dads can find the size that suits them and have fun !!!You choose the drumstick size you want to play (classic 5A, RodSticks, Vibes mallets), the size of your hand (be careful and look carefully documents presenting hands of sizes), download the correct file. Slice the object and start your machine.I chose a ""flesh"" color filament , to show that it is now possible to make discrete objects, but each can further customize its grip by choosing fashionable and flashy colors--- You must share the basic shape file, without any hole vertically. Scale it, design a sketch for the profile you need and extrude by cuting the mesh. You have just create your own drumstick model with meshmixer, for example. It's possible to use this file for creating other applications for holding a lot of common tools. I choose leisure aspect of my invention, for show something different of their all the days problems. If you meet particular problems, send me a message by Pinshape way, I'll see what solution I can imagine. ---File Name : ""Hands Grip Basic Shape.stl"" Play music as you want now. ;-)"
"
                Dailies Contact Case
                			",Joe Poggie,This is a contact case I designed to hold Dailies single-use contact lenses. This container can hold up to 10 contacts on each side and the lid snaps firmly in place to keep them enclosed.
"
                Orthosis for Typing and touchscreen
                			",Gabriela Alejandra Bravo Illanes,"This is an orthosis designed for people who have lost their hand control (reduced or complete lack of movement of their finger). It allows the use of keyboard and touchscreen.This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute. Post-printing:After printing you should shape it to the hand of the user by heating it with hot water or a heat gun (be careful with no burn the patient). Use as example the picture above"
"
                milk top seal remover
                			",Don,This object was made in Tinkercad. tinkercad.com/things/bE0WfWrNgJR
"
                Toothbrush Adapter
                			",Gabriela Alejandra Bravo Illanes,"This adapter lets you brush your teeth by moving your palm. It's useful for people that has lost their fingers movement or it's limited .This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute. Assembling instructions (Refer to last picture): 1. Print the adapter. 2. Heat the water. 3. Put the toothbrush inside, an also shape it to the patient’s hand (you may need heat it by parts, be careful not to burn patient’s skin) 4. If it’s needed also add a soft surface and Velcro."
"
                Braille Learning Tool
                			",3D Custom Print,Hithis a learning tool for Braille. it can be stacked up to create 3/4/5/6 letter word to any length.https://youtu.be/aSkBJLYKEmk
"
                Suporte para hotspot
                			",Sousa Antonio,"Suporte para hotspot para cadeira de rodas ou biciclete, feito em PLA  Cobre 1.75mm Mendel, impressora CR10 , braçadeira 18mm"
"
                Cup Holder for different Type of Mugs/Glases up to 90mm
                			",BENOLD Andreas,"I needed something to put my Mug/Cup in while enjoying the summer. So i came up with an Idea, designed this holder in tinkercad and took me 2 trys to get the messurements correct. You could easily adopt the adapter and modify it using tinkercad or something else, just att the proper dimensions for your needs :)"
"
                Maraca Box
                			",Luke Warford,"I originally made this for my wife, who is a teacher of the visually impaired. Then I thought this could be used to add a little something to a campfire song or jazz combo. Either way it is compact and can fit almost anywhere."
"
                Flatware Adapter
                			",Gabriela Alejandra Bravo Illanes,"This is a flatware adapter that allows eating and cut food to people with hand movement problems (this was designed for a patient that has lost his thumb)Makes easier hold flatware by thickening the handle and surrounding the hand.The internal channel can be changed in order to hold different things like a thicker flatware, a tooth brush, a pencil, etc.This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute."
"
                cup holder for wheelchairs, suporte de copos
                			",Sousa Antonio,"porta-copos para cadeiras de rodas em que um grampo é de 18 mm. como duas partes móveis, uma única impressão e um parafuso de 4 mm.suporte de copos para cadeira de rodas que tem uma 18mm. Como duas partes moveis, uma só impressão e um parafuso de 4mm."
"
                Umbrella Holder for wheelchair - Version2 Revised
                			",CARLOS BASAURI,"Umbrella holder for wheelchair   I came to this idea the other day watching a fellow getting soaked while he rolled his wheelchair wearing a cloak under the rain. I don't know if you can find somerthing alike in the shops, but he didn't have one and surely he would have found it really handy if he had had it then. So here it is, for the benefit of all of you that are less fortunate than me and cannot walk (but in any case, still like to get out when it is raining).   The device is composed of five pieces of plastic (ABS or similar) to be printed. You will also need one broached head cap screw M8 x 70 mm and a M8 nut to fix it to the wheelchair.   The device is designed to be attached to any wheelchair tube from 22 to 25 mm of diameter, and it should hold any umbrella with a handle diameter 14 to 28 mm. The umbrella can be dettached with no tools.   I haven't printed one myself (I haven't got a 3D printer) but I hope everything assembles nicely . Please let me know (gcon114@gmail.com) if you find any glitches in it or if you think it can be somehow improved, and I will gladly redesign it for you.   So just print it and enjoy the sunny side of the street !! (even if it is raining) So if you like the thing and you are not getting wet anymore, why don't you tip me? I'll really appreciateSpecial thanks to Vaclav Krmela who helped me improve the design and test printed it !!"
"
                Tool to put elastics to hook
                			",Gabriela Alejandra Bravo Illanes,"This tool allows to put easily a eslastic band to a prosthesis's hook.How to use the tool: https://youtu.be/u_Lp7CT3WUQPost printing: After assembly melt the axis for secure the parts (refer to picture).This object was made for the ""Mutual de Seguridad C.Ch.C"" from Chile. In a project of the Direction of innovation and development, and the Neuro rehabilitation institute. "
"
                ankit rajak -coffie bag
                			",Ankit Rajak,This object was made in Tinkercad. tinkercad.com/things/9iRUxj7EX57
"
                UPDATED FOR STAGE TWO David Geenen - Water blocks
                			",David Geenen,"Design by - David GeenenStage Two:Design has been modified for hygiene. Stage One:Water Blocks are containers for water that encourage refugee children to wash their hands.Each block contains an amount of water suitable for a single hand washing.The container is topped with a removable cap made from soap, after the container has been used for hand washing it can be used as a part for assembling a cricket batEight Type A Water Blocks and two Type B Water Blocks make one cricket bat.ADD YOUR COMMENTS BELOW! "
"
                Blade Typing Assistant
                			",D3V!rum3tM^ch!n^ @DVirumEtMachina,"The Blade Typing Assistant works as an extend finger for fingers that can't.Print Time: 20mins per grip.Standard Fast Print settings:Print speed: 60mm/s - Top/Bottom Speed 30mm/s - Travel Speed 150mm/s - Initial Layer Speed 30mm/sNo Supports, No Bed Adhesion.Printed on an Ultimaker 2 Extended +  |  0.4mm Nozzle  |   Sliced with Cura slicing softwareBuild Plate Temp: 60Deg/C   |  printed in ColorFabb PLA/PLH @212Deg/C."
"
                Rubik's cube for blind people and partially sighted
                			",3ducation,"This Rubik's cube's faces are covered in braille language, making it suitable for blind people and partially sighted.This design is the result of an experience we ran with 33 students from two high schools of Ioannina, Greece. Students were asked to collaboratively design creative artefacts, most of them carrying messages in Braille language. The objects are then shared with blind children in order to use 3D printing as a way to create a new medium of collaboration between blind and non-blind people. The experience so far has been very positive! You can read more about this experience on its dedicated blog!"
"
                Tubular Clip
                			",Luca Parmegiani,"This is a tubular clip to hold different kinds of objects. It is adjustable and it can clip tubulares from two up to three centimeters of diameter. It can be used for example on bicycle's tubular, wheelchairs' tubular etc .. and with easy steps you can adjust or remove it."
"
                UPDATED FOR STAGE TWO Sergio S. Ferreira - Wahakit
                			",Ferreira & Ferreira,"Design by - Sergio S FerreiraStage Two:The design has been modified to be more robust and durable. Stage One:The whole system consists solely of plastic parts. The system includes a tap, a soft 8mm PVC tube, a pamphlet holder and a basin.The basin doubles its function as a transportation container for the whole system. The system is offered in a kit format. This format allows for easy and cost effective transportation. The kit is designed to be assembled.File contains Stage One and Stage Two submissionsADD YOUR COMMENTS BELOW!"
"
                HandsUp
                			",Tikkum Olam Makers,"About the project: Making game console remotes accessibleThe Problem:People with missing fingers find it difficult to reach the back keys of game console remotes.The Solution:A 3D printed add-on to the remote, that uses levers to press the buttons from a point closer to the user's palms."
"
                proyhèse pour main droite
                			",duboile yannick,"Pièces effectuer en Poly Flex,du velcro est nécessaire pour maintenir les divers éléments ainsi qu'un tour de poignet en éponge."
"
                Over Door Hook
                			",Walter Hsiao,Small hook for hanging on that top edge of a door that is about 34mm thick (can be rescaled for other thicknesses).Printer:-- EustathiosFilament:-- Atomic Filament Bronze PLA
"
                Beer Cigarettes Rattan Armchair Holder
                			",ro,Easy to print
"
                Flip Flops (Jandals / Thongs / Sandals) Stand
                			",Muzz64,This simple little stand organizes your Flip Flops (Jandals / Thongs / Sandals) to keep them tidy and save space by making them stand upright. Once mounted the stand can also be hung up on a hook if required and the Flip Flops will stay secure and held in place... no more messy Flip Flops lying around or taking up more floor space than is necessary.The stand is easy to use... just slide your Flip Flops into the slots heel down with the soles facing each other. This puts a small amount of pressure between them so they stand upright and stay in place in the stand.Five versions are provided for different thickness heels ranging from 15mm to 35mm. This should cover most thickness of Flip Flops. Determining the size to print is easy... just measure the thickness of the heel of your Flip Flops and print the size required.For example:With a heel thickness of 20mm use the 20mm file and you should have a snug / slight compression when the Flip Flops are inserted into the slots. There will also be tension between the soles that holds the Flip Flops in and secure.With a heel thickness of 22mm go up to the 25mm file. The heels will be slightly loose in the slots but there will be tension between the soles so the Flip Flops will still be securely held in the stand.This is an easy-to-use practical and space-saving solution. Print in your colour of choice and color code for different people or pair of Flip Flops so they know the correct stand for the pair concerned. Handy to use yourself but also great as a small gift.The stands are all quite small so don't take long to print or use much filament. Please post images of your stands in use for others to see.Please refer to the print settings / instructions and the images for additional information.Note: If you like this check out the rest of my practical and fun designs.
"
                Assistant to carry bags.
                			",Felipe aguirre,This simple design is made for anyone with limited use of their hands can carry without difficulty their bags or packages. A simulation of ABS material and weighs 20 Kg which are supported on the hook (Video of the simulation) was conducted. For this reason it is recommended to make an impression with 100% filling and a horizontal orientation.The model can be easily scaled to the desired size.I hope  this design be helpful for those with limited use of their hands.
"
                Medicine tube organizer
                			",Bill Waggoner,"Many tubes today come with caps that are broad enough so that they stand on the tops and take up less space in the medicine cabinet. Many others, especially prescription medicines, do not. These holders or stands (two sizes) will support your medicine tube vertically and allow it to take up less space in the cabinet.They print easily and quickly with so support required.Designed in Fusion360 and adjustable with parameters to fit nearly any  tube with similar characteristics. The design files are available on request."
